database       | 2024-02-20 21:04:18.540 UTC [4071] ERROR:  canceling statement due to user request
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.714","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.714","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.714","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.714","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.714","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.714","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.714","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.716","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.716","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.717","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.717","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.719","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.723","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.732","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.737","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.741","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.747","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.747","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.755","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.783","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.810","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.810","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.810","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.810","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.810","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.811","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.811","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.811","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.811","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.811","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.811","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.811","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.811","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.811","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.816","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.816","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.816","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.819","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.823","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.828","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.828","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.832","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.837","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.837","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.841","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.850","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.856","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.856","message":"failed to begin tx"}
database       | 2024-02-20 21:04:18.909 UTC [4187] ERROR:  canceling statement due to user request
database       | 2024-02-20 21:04:18.909 UTC [4187] CONTEXT:  while rechecking updated tuple (208,5) in relation "balances"
database       | 2024-02-20 21:04:18.909 UTC [4187] STATEMENT:  UPDATE balances SET amount = $1, last_transactions = $2 WHERE client_id = $3
database       | 2024-02-20 21:04:18.909 UTC [4187] LOG:  could not send data to client: Broken pipe
database       | 2024-02-20 21:04:18.909 UTC [4187] FATAL:  connection to client lost
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.910","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.910","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.910","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.910","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.910","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.910","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.910","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.911","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.911","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.911","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.911","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.911","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.911","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.912","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.912","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.914","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.916","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.916","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.917","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.917","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.919","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.923","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.928","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.928","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.932","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.938","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.938","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:18.941","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.010","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.010","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.010","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.010","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.010","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.010","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.010","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.011","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.011","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.011","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.011","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.011","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.014","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.016","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.016","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.017","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.017","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.019","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.019","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.024","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.028","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.033","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.037","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.037","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.051","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.056","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.064","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.073","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.091","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.101","message":"failed to begin tx"}
database       | 2024-02-20 21:04:19.110 UTC [4218] ERROR:  canceling statement due to user request
database       | 2024-02-20 21:04:19.110 UTC [4218] CONTEXT:  while rechecking updated tuple (267,7) in relation "balances"
database       | 2024-02-20 21:04:19.110 UTC [4218] STATEMENT:  UPDATE balances SET amount = $1, last_transactions = $2 WHERE client_id = $3
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.111","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.111","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.111","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.111","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.115","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.115","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.115","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.115","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.115","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.116","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.116","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.116","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.117","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.119","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.122","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.122","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.122","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.122","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.124","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.127","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.132","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.138","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.141","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.141","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.146","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.151","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.155","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.200","message":"failed to begin tx"}
database       | 2024-02-20 21:04:19.209 UTC [4218] LOG:  could not send data to client: Broken pipe
database       | 2024-02-20 21:04:19.209 UTC [4218] FATAL:  connection to client lost
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.210","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.210","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.210","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.210","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.210","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.210","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.211","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.210","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.211","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.211","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.211","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.211","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.216","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.216","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.216","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.218","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.224","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.227","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.228","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.232","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.236","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.243","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.245","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.247","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.251","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.256","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.273","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.282","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.301","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.306","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.310","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.310","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.310","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.310","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.314","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.314","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.314","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.314","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.314","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.319","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.319","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.325","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.327","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.328","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.332","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.337","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.337","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.343","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.346","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.355","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.355","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.361","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.365","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.365","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.368","message":"failed to begin tx"}
service-02     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.373","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.375","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.378","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.391","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.410","message":"failed to begin tx"}
service-01     | {"level":"error","pid":1,"error":"context canceled","time":"2024-02-20 21:04:19.410","message":"failed to begin tx"}
